date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:52	213066/213066	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:53%20GMT	https://www.hsbc.co.uk/wealth/insights/learn-to-invest/start-investing/2024-04-18/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/learn-to-invest/start-investing/2024-04-18/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:52	410590/410590	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:52%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/13344-elderly-couple-on-bike-2560x1440.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/13344-elderly-couple-on-bike-2560x1440.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:52	213999/213999	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:53%20GMT	https://www.hsbc.co.uk/wealth/insights/learn-to-invest/meet-life-goals/protection/health-is-wealth/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/learn-to-invest/meet-life-goals/protection/health-is-wealth/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:53	655130/655130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:53%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/12865-qol-protection-kv-woman-v1-asian-faces-clean-2560x1440.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/12865-qol-protection-kv-woman-v1-asian-faces-clean-2560x1440.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:53	207577/207577	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:54%20GMT	https://www.hsbc.co.uk/wealth/insights/learn-to-invest/meet-life-goals/protection/women/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/learn-to-invest/meet-life-goals/protection/women/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:53	199008/199008	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:39:11%20GMT	https://www.hsbc.co.uk/wealth/insights/market-outlook/uk-in-focus/2024-05/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/market-outlook/uk-in-focus/2024-05/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:54	517750/517750	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:54%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-1441830629.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-1441830629.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:54	248125/248125	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:55%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/uk2-shutterstock-221469379.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/uk2-shutterstock-221469379.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:55	214033/214033	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:56%20GMT	https://www.hsbc.co.uk/wealth/insights/market-outlook/macro-monthly/2024-05/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/market-outlook/macro-monthly/2024-05/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:55	936639/936639	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jun%202024%2015:39:11%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/vr-001.png	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/vr-001.png	(from https://www.hsbc.co.uk/wealth/insights/)
